;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2016;2015;null;2014;2013;2012
5P 1,5 AT HYBRID 4X2;36,207;37411;null;null;null;;;;;;;null;;null;null
5P 1,5 AT HYBRID 4X4;42,907;47757;null;null;null;null;null;null;null;null;null;null;null;null;null
BJ40;;null;null;null;null;;;;;IC0KM E;;N US$;;null;null
3P 2,0 T 8AT 4X4;;64059;null;null;null;;;;;;;null;;null;null
5P 2,0 T 8AT 4X4 PLUS;;66776;60098;null;null;;;;;;;null;;null;null
BJ60;;null;null;null;null;;;;;;;null;;null;null
5P 2,0 4WD HYBRID;;82137;null;null;null;;;;;;;null;;null;null
D20;;null;null;null;null;;;;;;;null;;null;null
5P 1,3 MT;;null;null;14362;13298;12665;13268;12285;11375;;;null;;null;null
EX 260 CROSSOVER ELECTRIC;;null;null;null;null;;;;;;;null;;null;null
5P AT;;null;null;null;null;;;;18784;;;null;;null;null
EU5;;null;null;null;null;;;;;;;null;;null;null
4P 1,5 CVT;;26752;null;null;null;;;;;;;null;;null;null
4P 100% ELECTRICO;;30201;null;null;null;;;;;;;null;;null;null
4P 100% ELECTRICO PLUS;;50892;null;null;null;;;;;;;null;;null;null
SENOVA ELITE;;null;null;null;null;;;;;;;null;;null;null
5P 1,5 MT;;null;null;16914;15661;14915;15626;14468;13396;;;null;;null;null
5P 1,5 AT;;null;null;18394;17032;16221;16993;15734;14569;;;null;;null;null
X25 CROSSOVER;;null;null;null;null;;;;;;;null;;null;null
5P 1,5 MT;;null;null;null;null;;15129;14408;13722;;;null;;null;null
5P 1,5 AT;;null;null;null;null;;17200;16381;15601;;;null;;null;null
X35 CROSSOVER;;null;null;null;null;;;;;;;null;;null;null
5P 1,5 MT;;null;null;19904;18430;17552;18388;17026;15765;;;null;;null;null
5P 1,5 AT;;null;null;21980;20352;19383;20305;18801;17409;;;null;;null;null
5P 1,5 T CVT FASHION;;26648;23983;null;null;;;;;;;null;;null;null
5P 1,5 T CVT FASHION PLUS;;28424;25582;null;null;;;;;;;null;;null;null
5P 1,5 T CVT LUXURY;28,670;29469;26522;null;null;;;;;;;null;;null;null
X55 CROSSOVER;;null;null;null;null;;;;;;;null;;null;null
5P 1,5 T AT;;null;null;null;null;22381;23446;21710;21086;;;null;;null;null
5P 1,5 T AT 2020;;null;null;26976;24978;23789;24921;23075;;;;null;;null;null
5P 1,5 T AT II 2023;;null;null;29134;null;;;;;;;null;;null;null
5P 1,5 T II LUXURY;37,370;41487;null;null;null;;;;;;;null;;null;null
;2022;2021;null;null;null;null;2020;2019;2018;2017;2016;2012;null;null;null
5P 1,5 T II PLUS;;null;null;null;null;null;;;;;;;null;null;null
X65 CROSSOVER;;null;null;null;null;null;;;;;;;null;null;null
5P 2,0 T AT;27847;26521;null;null;null;null;27784;25726;;;;;null;null;null
;;null;null;null;null;null;;;;;;;null;null;null
BMW;;null;null;null;null;null;;;;;;;null;null;null
116;;null;null;null;null;null;;;;;;;null;null;null
3P 1,6 i ACTIVE;;null;null;null;null;null;;;;;;13583;null;null;null
5P 1,6 i;;null;null;null;null;null;;;;;24188;20508;null;null;null
5P 1,6 i AT;null;null;null;null;null;null;null;null;null;null;null;20667;null;null;null
118;BM;;null;null;null;null;EN US$;;;;;;null;null;null
3P 1,8 i ACTIVE;;null;null;null;null;null;;;;;;15595;null;null;null
3P 1,8 d ACTIVE;;null;null;null;null;null;;;;;;16397;null;null;null
3P 1,8 i ACTIVE 2017;;null;null;null;null;null;;;30202;26936;;;null;null;null
5P 1,8 i ACTIVE;;null;null;null;null;null;;;;;;17217;null;null;null
5P 1,8 i SPORT/URBAN;;null;null;null;null;null;;;;;;20656;null;null;null
5P 1,8 i SPORT/URBAN AT;;null;null;null;null;null;;;;;;22860;null;null;null
5P 1,8 d SPORT/URBAN;;null;null;null;null;null;;;;;;22791;null;null;null
5P 1,8 i ACTIVE;;null;null;null;null;null;;33986;29405;26226;23904;;null;null;null
5P 1,8 i SPORT LINE;;null;null;null;null;null;;38591;33390;29779;27143;;null;null;null
5P 1,5 T 7AT ADVANTAGE;46583;44365;null;null;null;null;42252;39104;;;;;null;null;null
5P 1,5 T 7AT SPORTLINE;50450;48048;null;null;null;null;45760;;;;;;null;null;null
5P 1,5 T 7AT ADVANTAGE 2025;;null;null;null;null;null;;;;;;;null;null;null
5P 1,5 T 7AT SPORTLINE 2025;;null;null;null;null;null;;;;;;;null;null;null
120;;null;null;null;null;null;;;;;;;null;null;null
5P 2,0 i ACTIVE;;null;null;null;null;null;;;;;;18659;null;null;null
5P 2,0 D ACTIVE;;null;null;null;null;null;;;;;;18835;null;null;null
5P 2,0 i SPORT;;null;null;null;null;null;45162;42456;36047;31560;;;null;null;null
COUPE 2,0 i ACTIVE;;null;null;null;null;null;;;;;;21023;null;null;null
COUPE 2,0 i EXECUTIVE;;null;null;null;null;null;;;;;;22314;null;null;null
CONV 2,0 i ACTIVE;;null;null;null;null;null;;;;;;35216;null;null;null
125;;null;null;null;null;null;;;;;;;null;null;null
3P 1,6 i AT;;null;null;null;null;null;;;;;31227;;null;null;null
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
5P 2,0 D SPORT LINE;;null;null;null;null;;;;;;32517;30924;29733;27775;null
COUPE 3,0 EXECUTIVE;;null;null;null;null;;;;;;32270;30690;30644;28627;27733
130;;null;null;null;null;;;;;;;;;null;null
3P 3,0 i LIMITED EDITION;;null;null;null;null;;;;;;;;;null;30940
135;;null;null;null;null;;;;;;;;;null;null
COUPE 3,0 i SPORTIVE;;null;null;null;null;;;;;;50747;47296;43474;40612;37632
3P 3,0 i M;;null;null;null;null;;;;;;52686;49103;45102;42133;null
218 i;;null;null;null;null;;;;;;;;;null;null
4P 1,5 T 7SEPT GRAN COUPE ADVANTAGE;;60999;58965;56158;51998;49522;47163;;;;;;;null;null
220 i;;null;null;null;null;;;;;;;;;null;null
COUPE 2,0 T SPORT LINE;;null;null;null;null;;;;;;33679;32815;;null;null
COUPE 2,0 T SPORT 2017;;null;null;null;null;;;43229;37755;35332;;;;null;null
CONV 2,0 T SPORT 2017;;null;null;null;null;;;49645;43358;40577;;;;null;null
COUPE 2,0 T SPORT LCI 8AT;;null;null;null;null;;50157;48032;;;;;;null;null
CONV 2,0 T SPORT LCI 8AT;;null;null;null;null;;57601;55161;;;;;;null;null
COUPE 2,0 T 8AT SPORTLINE LCI 2020;;null;null;null;null;;51154;48987;;;;;;null;null
COUPE 2,0 T 8AT M SPORT LCII 2021;;null;null;60003;55559;52913;;;;;;;;null;null
COUPE 2,0 T 8AT ADVANTAGE 2023;59,900;65890;63233;60999;null;;;;;;;;;null;null
235 i;;null;null;null;null;;;;;;;;;null;null
COUPE 3,0 T M PACKAGE;;null;null;null;null;;;;;;58413;55941;;null;null
318;;null;null;null;null;;;;;;;;;null;null
4P 1,8 i EXECUTIVE;;null;null;null;null;;;;;;;;19498;18215;17266
320;;null;null;null;null;;;;;;;;;null;null
4P 2,0 i EXECUTIVE;;null;null;null;null;;;;;;;;;null;20593
4P 2,0 D EXECUTIVE;;null;null;null;null;;;;;;;;;null;23834
COUPE 2,0 i EXECUTIVE;;null;null;null;null;;;;;;;;;null;23834
4P 2,0 D SPORT/LUXYRY;;null;null;null;null;;;;;;;;;null;27594
4P 2,0 D SPORT/LUXYRY 2013;;null;null;null;null;;;;;;37761;35193;31897;29797;null
4P 2,0 i 2013;;null;null;null;null;;;;;;30895;28795;26491;24747;null
320 i;;null;null;null;null;;;;;;;;;null;null
4P 2,0 T EXECUTIVE;;null;null;null;null;;;;38650;34471;31833;;;null;null
4P 2,0 T SPORTLINE;;null;null;null;null;;;;39473;37066;34229;;;null;null
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
4P 2,0 T SPORTLINE 2019;;null;null;57914;55156;52530;50029;49406;;;;;;null;null
4P 2,0 T SPORTLINE II;61,900;68090;65839;60962;58059;;;;;;;;;null;null
325;;null;null;null;null;;;;;;;;;null;null
COUPE 2,5 i EXECUTIVE;;null;null;null;null;;;;;;;;29747;27524;25774
COUPE 2,5 i EXECUTIVE TRONIC;;null;null;null;null;;;;;;;;31273;28936;27096
4P 2,5 i EXECUTIVE;;null;null;null;null;;;;;;;;;null;21169
CONV 3,0 i EXECUTIVE;;null;null;null;null;;;;;;;;40390;37372;34996
COUPE 3,0 i SPORTIVE;;null;null;null;null;;;;;;;;35726;33057;null
328;;null;null;null;null;;;;;;;;;null;null
4P 2,0 i SPORT/LUXURY;;null;null;null;null;;;;;;;34318;31049;29005;27566
330;;null;null;null;null;;;;;;;;;null;null
4P 3,0 i EXECUTIVE;;null;null;null;null;;;;;;;;;null;24075
4P 3,0 i EXECUTIVE TRONIC;;null;null;null;null;;;;;;;;;null;25081
4P 2,0 T SPORTLINE 8AT;82,500;90750;81511;76926;71228;67836;64606;60734;;;;;;null;null
4P 2,0 T SPORTLINE 8AT SHADOW;;null;null;null;null;;67836;63770;;;;;;null;null
330e;;null;null;null;null;;;;;;;;;null;null
4P 2,0 T SPORTLINE;;null;81516;77440;null;;;;;;;;;null;null
335;;null;null;null;null;;;;;;;;;null;null
4P 3,0 i 2013;;null;null;null;null;;;;;;50645;47826;44679;41805;null
COUPE 3,0 SPORTIVE BT;;null;null;null;null;;;;;;;;44873;41987;40190
COUPE 3,0 SPORTIVE BT AT;;null;null;null;null;;;;;;;;;null;41894
428 i;;null;null;null;null;;;;;;;;;null;null
COUPE 2,0 T SPORT LINE;;null;null;null;null;;;;;;44842;42747;;null;null
430 i;;null;null;null;null;;;;;;;;;null;null
COUPE 2,0 T SPORT;;null;null;null;null;;;58268;54119;46520;41399;;;null;null
COUPE 2,0 T SPORTLINE LCI 8AT;;null;null;null;null;;71577;66018;;;;;;null;null
COUPE 2,0 T M SPORTPACKAGE 8AT;84,500;92950;88260;83847;77636;73940;;;;;;;;null;null
GRAN COUPE 2,0 T SPORT;;null;null;null;null;;;63116;58621;50390;44843;;;null;null
GRAN COUPE 2,0 T SPORTLINE LCI 8AT;;null;null;null;null;;77532;71510;;;;;;null;null
GRAN COUPE 2,0 T SPORTLINE 8AT 2023;;null;90772;86233;null;;;;;;;;;null;null
435 i;;null;null;null;null;;;;;;;;;null;null
COUPE 3,0 T V6 M PACKAGE;;null;null;null;null;;;;;;60547;55524;;null;null
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
440 i;;null;null;null;null;;;;;;;;;null;null
COUPE 3,0 T M PACKAGE;;null;null;null;null;;;74582;65423;56237;49045;;;null;null
GRAN COUPE 3,0 T M PACKAGE;;null;null;null;null;;;76011;66677;57314;49985;;;null;null
CABRIO 3,0 T SPORT LINE;;null;null;null;null;;;87688;76919;66119;57663;;;null;null
COUPE 3,0 T M SPORT LCI 8AT;;null;null;null;null;105559;100532;92724;;;;;;null;null
GRAN COUPE 3,0 T MSPORT LCI 8AT;;null;null;null;null;107581;102458;94500;;;;;;null;null
CABRIO 3,0 T M PACKAGE 8AT;;null;null;null;null;124107;118198;109017;;;;;;null;null
CABRIO 3,0 T M SPORT LCI 8AT;;null;null;null;null;124107;118198;109017;;;;;;null;null
525;;null;null;null;null;;;;;;;;;null;null
4P 2,0 D EXECUTIVE;;null;null;null;null;;;;;;43272;39957;35816;32891;30544
528;;null;null;null;null;;;;;;;;;null;null
4P 2,8 i EXECUTIVE;;null;null;null;null;;;;;;;;;null;27925
530;;null;null;null;null;;;;;;;;;null;null
4P 3,0 i EXECUTIVE;;null;null;null;null;;;;;;;;33350;30627;28475
4P 3,0 D EXECUTIVE;;null;null;null;null;;;;;;;;37171;34135;31737
530 i;;null;null;null;null;;;;;;;;;null;null
4P SPORTLINE;;null;null;null;null;65525;62248;57414;;;;;;null;null
535;;null;null;null;null;;;;;;;;;null;null
4P 3,0 i EXECUTIVE;;null;null;null;null;;;;;;45365;36858;33067;30367;27670
5P 3,0 GRAN TURISMO;;null;null;null;null;;;;;;50501;41030;37094;34065;30828
535 i;;null;null;null;null;;;;;;;;;null;null
4P 3,0 T M PACKAGE;;null;null;null;null;;;;;;55279;;;null;null
540 i;;null;null;null;null;;;;;;;;;null;null
4P 3,0 T M PACKAGE;;null;null;null;null;91433;82290;75898;68079;58520;;;;null;null
550;;null;null;null;null;;;;;;;;;null;null
4P 4,4 i PREMIUM;;null;null;null;null;;;;;;;;29671;27248;24751
550e;;null;null;null;null;;;;;;;;;null;null
4P 3,0 8AT XDRIVE M SPORT PRO;159,900;175890;164880;null;null;;BM;W0KM;EN US$;;;;;null;null
640;;null;null;null;null;;;;;;;;;null;null
COUPE 3,0 i SPORTIVE;;null;null;null;null;;;;;;67466;62219;56254;51660;46927
CONV SPORTIVE;;null;null;null;null;;;;;;;;61145;56152;51007
4P GRAN COUPE 3,0 i;;null;null;null;null;;;;;;;;55386;50863;null
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
640 i;;null;null;null;null;;;;;;;;;null;null
COUPE 3,0 T SPORTIVE;;null;null;null;null;;;;94683;81388;71167;;;null;null
650;;null;null;null;null;;;;;;;;;null;null
COUPE 4,8 Ci PREMIUM;;null;null;null;null;;;;;;;;;null;37268
COUPE 4,8 Ci PREMIUM TRONIC;;null;null;null;null;;;;;;;;;null;38008
650 i;;null;null;null;null;;;;;;;;;null;null
COUPE 4,4 BT 8AT M SPORT;;null;null;null;null;;;90428;75357;64776;;;;null;null
COUPE GRAN 4,4 BT 8AT M SPORT;;null;null;null;null;;;93013;77511;66627;;;;null;null
COUPE GRAN 4,4 V8 BT 8AT M SPORT 2019;;null;null;null;null;;105887;97663;;;;;;null;null
COUPE GRAN 4,4 V8 BT 8AT M SPORT M6 2019;;null;null;null;null;;108914;100454;;;;;;null;null
750;;null;null;null;null;;;;;;;;;null;null
4P 4,8 i PREMIUM TRONIC;;null;null;null;null;;;;;;;;56427;51820;48060
4P 4,8 iA INDIVIDUAL TRONIC;;null;null;null;null;;;;;;;;;null;48594
750 i;;null;null;null;null;;;;;;;;;null;null
4P 4,4 BT 8AT M SPORT EXCELLENCE;;null;null;null;null;;176585;163080;135900;116818;;;;null;null
4P Li XDRIVE M SPORT PURE EXC;;null;null;215651;199677;190168;;;;;;;;null;null
760 i;;null;null;null;null;;;;;;;;;null;null
4P 4,4 BT V8 8AT MILDHYBRID XDRIVE MSPORT PRO;249,900;274890;null;null;null;;;;;;;;;null;null
M1;;null;null;null;null;;;;;;;;;null;null
COUPE;;null;null;null;null;;;;;;;;59061;54238;50270
M2;;null;null;null;null;;;;;;;;;null;null
COUPE 3,0 T;;null;null;null;null;;131522;121307;101089;86895;;;;null;null
COUPE 3,0 BT 8AT 2025;139,900;153890;null;null;null;;;;;;;;;null;null
M3;;null;null;null;null;;;;;;;;;null;null
COUPE 4,0 M SPORT;;null;null;null;null;;;;;;;87559;78855;71692;64969
4P 3,0 BT;;null;null;null;null;;162061;149474;137516;127686;118646;;;null;null
4P COMPETITION MRACE TRACK 510CV;;199177;189693;null;null;;;;;;;;;null;null
M4;;null;null;null;null;;;;;;;;;null;null
COUPE 3,0 BT;;null;null;null;null;;;158878;150934;144715;138854;;;null;null
COUPE 3,0 BT F82 LCI;;null;null;null;null;;;161931;150758;;;;;null;null
COUPE 3,0 BT LCI 2019;;null;null;null;null;;179151;165236;;;;;;null;null
COUPE COMPETITION MRACE TRACK 510CV;;209660;199677;null;null;;;;;;;;;null;null
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
M5;;null;null;null;null;;;;;;;;;null;null
4P 5,0 SPORT 7 VEL;;null;null;null;null;;;;;;;108371;99099;93850;null
4P 4,4 V8 BT;;null;null;null;null;;175853;161933;141692;128703;116991;;;null;null
4P 35 J;;null;null;null;null;;201598;;;;;;;null;null
4P 4,4 BT 8STEP MXDRIVE PLUG-IN HYBRID;229,900;252890;null;null;null;;;;;;;;;null;null
M6;;null;null;null;null;;;;;;;;;null;null
COUPE 5,0 V10 SPORT;;null;null;null;null;;;;;;;;;null;65306
COUPE GRAN;;null;null;null;null;;;;;;;127990;115679;null;null
COUPE GRAN 4,4 BT 2017;;null;null;null;null;;197500;182160;156767;133237;;;;null;null
COUPE GRAN 4,4 V8 BT 8AT M SPORT M6 2019;;null;null;null;null;;207375;191268;;;;;;null;null
M135;;null;null;null;null;;;;;;;;;null;null
5P 2,0 8AT XDRIVE M PACKAGE;;null;null;80176;74237;70702;67335;59877;;;;;;null;null
5P XDRIVE M PERFORMANCE;;null;88616;84185;77949;;;;;;;;;null;null
5P 2,0 T XDRIVE 8AT 2025;79,900;87890;null;null;null;;;;;;;;;null;null
M140i;;null;null;null;null;;;;;;;;;null;null
3P 3,0 M PACKAGE;;null;null;null;null;;;;52372;47269;;;;null;null
5P 3,0 M PACKAGE;;null;null;null;null;;;63779;53149;47970;;;;null;null
M235i;;null;null;null;null;;;;;;;;;null;null
4P GRAN COUPE 2,0 T 8SEPT XDRIVE;;null;84496;80271;74325;;;;;;;;;null;null
M240i;;null;null;null;null;;;;;;;;;null;null
COUPE 3,0 T 8AT;;null;null;null;null;;;59736;56481;53504;;;;null;null
COUPE 3,0 T 8AT M PERFORMANCE LCI 2020;;null;null;null;75178;71598;68188;66387;;;;;;null;null
COUPE 3,0 T 8AT 388CV XDRIVE 2022;87,900;96690;89738;85252;78937;;;;;;;;;null;null
CONV 3,0 T M PACKAGE 8AT;;null;null;null;null;;;76515;68226;59742;;;;null;null
M340i;;null;null;null;null;;;;;;;;;null;null
4P 3,0 T XDRIVE 8AT;;null;null;null;91565;87204;83052;;;;;;;null;null
4P 3,0 T XDRIVE 8AT PERFORMANCE II;104,900;115390;109299;103834;96143;;;;;;;;;null;null
M440i;;null;null;null;null;;;;;;;;;null;null
COUPE 3,0 T XDRIVE M PERFORMANCE 8AT;;null;null;115181;106649;101571;;;;;;;;null;null
M850i;;null;null;null;null;;;;;;;;;null;null
COUPE 4,4 8AT MPA;;null;null;null;null;152263;145013;129415;;;;;;null;null
X1;;null;null;null;null;;;;;;;;;null;null
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
5P 1,8 i SDRIVE ACTIVE 4X2;;null;null;null;null;;;;;;;;20014;18380;17678
5P 2,0 i SDRIVE ACTIVE 4X2;;null;null;null;null;;;;;;25220;24873;22591;20747;19954
5P 2,0 d SDRIVE ACTIVE 4X2;;null;null;null;null;;;;;;;;24739;22719;21852
5P 2,0 d XDRIVE ACTIVE 4X4;;null;null;null;null;;;;;;29676;29268;26944;24744;23799
5P 2,0 d XDRIVE ACTIVE 4X4 AT;;null;null;null;null;;;;;;;;28577;26243;25241
5P 2,0 i XDRIVE EXECUTIVE 4X4;;null;null;null;null;;;;;;;;23928;21974;null
5P 2,0 i SDRIVE SPORT LINE;;null;null;null;null;;47602;42980;35817;32187;30101;;;null;null
5P 2,5 i XDRIVE XLINE;;null;null;null;null;;56343;50873;42394;38098;35628;;;null;null
5P 2,8 i XDRIVE EXECUTIVE 4X4;;null;null;null;null;;;;;;;;22591;20747;19954
5P 1,8 i 1,5 T 7AT SDRIVE ADVANTAGE LCI 2020;;null;null;60321;53314;50776;48358;;;;;;;null;null
5P 2,0 i 2,0 T 7AT SDRIVE SPORTLINE LCI 2020;;null;null;64883;57346;54615;52014;;;;;;;null;null
5P 1,8 i SDRIVE XLINE;62,900;69190;63496;null;null;;;;;;;;;null;null
5P 2,0 i SDRIVE XLINE;77,900;85690;75298;null;null;;;;;;;;;null;null
5P 2,0 i SDRIVE BLACK EDITION;77,900;85690;75298;null;null;;;;;;;;;null;null
5P 2,5 i SDRIVE XLINE;89,900;98890;null;null;null;;;;;;;;;null;null
X2;;null;null;null;null;;;;;;;;;null;null
5P 2,0 i T SDRIVE MSPORTX 4X4;;null;null;null;null;;50552;47528;45758;;;;;null;null
5P 2,0 i T SDRIVE MSPORTX 4X4 II;;null;null;65897;61015;58110;;;;;;;;null;null
5P 2,0 T M35I MPA 4X4;;null;88174;83765;77560;71869;66707;60722;;;;;;null;null
5P 2,0 i XDRIVE M SPORT;79,900;87890;80999;null;null;;;;;;;;;null;null
5P 3,0 i XDRIVE M SPORT;96,900;106590;null;null;null;;;;;;;;;null;null
X3;;null;null;null;null;;;;;;;;;null;null
5P 2,0 d XDRIVE ACTIVE;;null;null;null;null;;;;;;;;;null;16908
5P 2,0 d XDRIVE EXECUTIVE;;null;null;null;null;;;;;;32531;29322;26403;24489;23246
5P 2,0 i XDRIVE EXECUTIVE;;null;null;null;null;;;;;;30286;27299;24378;22611;null
5P 2,0 i XDRIVE ACTIVE;;null;null;null;null;;;;41134;33394;;;;null;null
5P 2,5i XDRIVE LIMITED EDITION;;null;null;null;null;;;;;;;;;null;20155
5P 2,8 i XDRIVE EXECUTIVE;;null;null;null;null;;;;;;;;;null;19315
5P 2,8 i XDRIVE XLINE;;null;null;null;null;;;;47108;38243;32930;;;null;null
5P 3,0i XDRIVE XLINE 2018;;null;null;null;null;66370;63210;58732;49724;;;;;null;null
5P 3,5 i XDRIVE EXECUTIVE;;null;null;null;null;;;;;;39470;34334;30677;28454;27009
5P 3,5 i XDRIVE M PACKAGE;;null;null;null;null;;;;65616;53269;46624;;;null;null
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
5P 4,0i M XDRIVE 2018;;null;null;null;null;;101456;89379;74483;;;;;null;null
5P M 480CV;;null;null;null;null;109865;;;;;;;;null;null
5P 2,0 i XDRIVE LCI XLINE;;null;83495;79320;73444;;;;;;;;;null;null
5P 3,0 i XDRIVE LCI XLINE 252CV;;null;89339;84872;78586;;;;;;;;;null;null
5P 3,0 i XDRIVE LCI XLINE 292CV;;null;98659;null;null;;;;;;;;;null;null
5P 2,0 T XDRIVE 8AT MILDHYBRID;91,900;101090;null;null;null;;;;;;;;;null;null
5P 3,0 T XDRIVE 8AT MILDHYBRID M50;137,900;151690;null;null;null;;;;;;;;;null;null
X4;;null;null;null;null;;;;;;;;;null;null
5P 2,8i XDRIVE XLINE;;null;null;null;null;;;64835;54029;46443;38434;35438;;null;null
5P 3,5i XDRIVE M PACKAGE;;null;null;null;null;;;83797;71413;60026;51573;47554;;null;null
5P 2,0 T XLINE 3,0i 8AT XDRIVE;;null;null;104186;96468;91875;87500;81112;;;;;;null;null
5P 3,0 M40i 8AT XDRIVE;;null;null;128627;119099;113428;108027;91603;;;;;;null;null
5P 3,0 XDRIVE MSPORT;106,900;117590;104856;null;null;;;;;;;;;null;null
X5;;null;null;null;null;;;;;;;;;null;null
5P 3,0d XDRIVE EXECUTIVE;;null;null;null;null;;;;;;;;41122;37764;34459
5P 3,5 i XDRIVE EXECUTIVE;;null;null;null;null;;;;;;;;36399;33427;30501
5P 5,0 i XDRIVE PREMIUM;;null;null;null;null;;;;;;;;44832;41171;37568
5P M 555CV AT;;null;null;null;null;;;;;;;;60350;55422;50571
5P 3,5 i XDRIVE PURE EXCELLENCE;;null;null;null;null;;;;;56142;50911;49216;;null;null
5P 5,0 i XDRIVE M PACKAGE;;null;null;null;null;;;;;74872;67896;65635;;null;null
5P 4,0 D XDRIVE PURE EXCELLENCE;;null;null;null;null;;;;;;;58123;;null;null
5P 4,0 D XDRIVE M PAKCAGE;;null;null;null;null;;;;;67848;61526;;;null;null
5P 3,0 T 35i XDRIVE EXCELLENCE 8AT;;null;null;null;null;;;88039;75475;66714;;;;null;null
5P 3,0 BT 40d XDRIVE M SPORT 8AT;;null;null;null;null;;;101594;87096;76985;;;;null;null
5P 4,4 BT 50i XDRIVE M SPORT 8AT;;null;null;null;null;;;111760;95811;84689;;;;null;null
5P 4,4 BT XDRIVE M 8ATM;;null;null;null;null;;;149036;127768;112936;;;;null;null
5P 4,4 BT XDRIVE SECURITY 8ATM;;null;null;null;null;;;179535;153914;136047;;;;null;null
5P 3,0 T XDRIVE XLINE 8AT;;null;null;145661;134871;128448;122332;111526;;;;;;null;null
5P 4,0 i XDRIVE M SPORT PRO;179,900;197890;185881;null;null;;;;;;;;;null;null
X6;;null;null;null;null;;;;;;;;;null;null
5P 3,0 D XDRIVE SPORTIVE;;null;null;null;null;;;;;;;62937;58200;51365;47292
5P 3,5 i XDRIVE;;null;null;null;null;;;;;;;55578;51406;45369;41771
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2016;null;2015;2014;2013;2012
5P 3,5 i XDRIVE PURE EXTRAVAGANCE;;null;null;null;null;;;null;null;56830;null;;;null;null
5P 5,0 i XDRIVE PREMIUM;;null;null;null;null;;;null;null;;null;68666;63512;56053;51608
5P 5,0 i XDRIVE M PACKAGE;;null;null;null;null;;;null;null;75485;null;;;null;null
5P M 555CV AT;;null;null;null;null;;;null;null;;null;87828;81235;71695;66838
5P 3,0 T 35i XDRIVE EXTRAVAGANCE 8AT;;null;null;null;null;;112358;106659;91438;;null;;;null;null
5P 4,4 BT 50i XDRIVE M SPORT 8AT;;null;null;null;null;;141510;134332;115162;;null;;;null;null
5P 4,4 BT 50i M PACKAGE 8AT;;null;null;null;null;156090;148585;141049;null;;null;;;null;null
5P 4,4 BT XDRIVE M 8ATM;;null;null;null;null;;211110;200403;171804;;null;;;null;null
5P 4,0 i XDRIVE MSPORT;;null;null;169068;156544;149090;;null;null;;null;;;null;null
5P M 600CV;;null;null;223540;206981;197125;;null;null;;null;;;null;null
5P 4,0 i XDRIVE LCI MSPORT PRO MILD HYBRID;189,900;208890;186602;null;null;;;null;null;;null;;;null;null
5P M COMPETITION 626CV;264,900;291390;null;null;null;;;null;null;;null;;;null;null
X7;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
5P M50I M PERFORMANCE;;null;null;218606;202413;192774;;null;BM;EN US$;null;;;null;null
5P M60I XDRIVE MILD HYBRID;259,900;285890;257301;null;null;;;null;null;;null;;;null;null
Z4;;null;null;null;null;;;null;null;;null;;;null;null
ROADSTER 2,3 i ACTIVE;;null;null;null;null;;;null;null;;null;;;null;52688
ROADSTER 3,0 i EXECUTIVE;;null;null;null;null;;;null;null;;null;;;null;62185
ROADSTER 3,0 i EXECUTIVE TRONIC;;null;null;null;null;;;null;null;;null;;;null;65972
ROADSTER 2,0 i EXECUTIVE;;null;null;null;null;;;null;null;;null;67233;61479;57432;53218
ROADSTER 2,8 i EXECUTIVE TRONIC;;null;null;null;null;;;null;null;;null;;71850;67121;62196
ROADSTER 3,5 i EXECUTIVE;;null;null;null;null;;;null;null;;null;81166;79135;77210;null
ROADSTER 3,5 IS M PACKAGE;;null;null;null;null;;;111257;96263;82124;null;;;null;null
ROADSTER 3,5 I M PACKAGE;;null;null;null;null;;;112583;97410;83103;null;;;null;null
ROADSTER 2,0 T SDRIVE 3,0 i M SPORT 8AT;;null;null;141296;134231;127839;121751;120363;null;;null;;;null;null
ROADSTER 2,0 T SDRIVE 3,0 i M SPORT 8AT THE;111,900;123090;null;null;null;;;null;null;;null;;;null;null
;;null;null;null;null;;;null;null;;null;;;null;null
BYD;;null;null;null;null;;;null;null;;null;;;null;null
DOLPHIN MINI;;null;null;null;null;;;null;null;;null;;;null;null
5P GL ELECTRICO AT;22,990;24140;null;null;null;null;null;B;YD0KM;null;null;null;null;null;null
5P GS ELECTRICO AT;23,990;25190;null;null;null;null;null;null;null;null;null;null;null;null;null
SONG PRO DMI;;null;null;null;null;;;null;null;;null;;;null;null
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
5P 1,5 GL HIBRIDO AT;34,990;36740;null;null;null;;;;;;;;;null;null
