;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
3P 1,4 T QV M6 CRO ALCANTARA T/C 2013;;null;null;null;null;;;;;;;21115;19757;18315;null
3P 1,4 T QV M6 CRO MILANO 2013;;null;null;null;null;;;;;;;20884;19541;18115;null
3P 1,4 T QV M6 CRO MILANO T/C 2013;;null;null;null;null;;;;;;;21296;19926;18472;null
3P 1,4 T QV M6 CRO MILANO T/C PREMIUM 2013;;null;null;null;null;;;;;;;23310;21811;20218;null
3P 1,4 T QV M6 CRO MILANO T/C PACK RACER;;null;null;null;null;;;;;;;23470;;null;null
3P 1,4 T TCT DISTINCTIVE AT 2012;;null;null;null;null;;;;;;;21477;20096;18629;17853
3P 1,4 T TCT DISTINCTIVE T/C 2012;;null;null;null;null;;;;;;;22363;20924;19397;18589
3P 1,4 T 170CV VELOCE M6;;null;null;null;null;;26125;25613;21531;;;;;null;null
3P 1,4 T 170CV VELOCE M6 CRO MILANO;;null;null;null;null;;27693;27150;22823;;;;;null;null
3P 1,4 T 170CV VELOCE M6 CRO MILANO TECHNOLOGY;;null;null;null;null;;29286;28711;24136;;;;;null;null
3P 1,4 T 170CV VELOCE M6 CRO MILANO TECHNOLOGY NAV;;null;null;null;null;;30305;29711;24976;;;;;null;null
3P 1,4 T 170CV VELOCE M6 CRO MILANO TECHNOLOGY NAV SUNROOF;null;null;null;null;null;;31484;30867;25948;;;;;null;null
3P 1,4 T 170CV VELOCE TCT;;null;null;null;null;;;;24136;22344;21237;;;null;null
3P 1,4 T 170CV VELOCE TCT CRO MILANO;;null;null;null;null;;;;25486;23594;22425;;;null;null
3P 1,4 T 170CV VELOCE TCT CRO MILANO TECHNOLOGY;;null;null;null;null;;;;25948;24021;22831;;;null;null
3P 1,4 T 170CV VELOCE TCT CRO MILANO TECHNOLOGY NAV;;null;null;null;null;;32479;31842;26767;24780;;;;null;null
3P 1,4 T 170CV VELOCE TCT CRO MILANO TECHNOLOGY NAV SUNROOF;null;null;null;null;null;;33550;32892;27650;25597;;;;null;null
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2014;2013;2012;null
3P 1,4 T 170CV QUADRIFOGLIO 6M;;null;null;null;null;;;;23508;21763;20685;;;null;null
3P 1,4 T 170CV QUADRIFOGLIO 6M CRO MILANO;;null;null;null;null;;;;24859;23014;21873;;;null;null
3P 1,4 T 170CV QUADRIFOGLIO 6M CRO MILANO TECHNOLOGY;;null;null;null;null;;;;25317;23438;22276;;;null;null
3P 1,4 T 170CV QUADRI 6M CRO MILA TECHNOLOGY RACER;;null;null;null;null;;;;26026;24094;22900;;;null;null
3P 1,4T SPORT 2012;;null;null;null;null;;;;;;;16417;15218;14637;null
3P 1,4T SPORT T/C 2012;;null;null;null;null;;;;;;;16877;15645;15048;null
SPIDER;;null;null;null;null;;;;;;;;;null;null
CABRIO 2,2 JTS S-SPEED 6TA;;null;null;null;null;;;;;;;;;43845;null
STELVIO;;null;null;null;null;;;;;;;;;null;null
5P 2,0 T AT AWD 200CV DISTINCTIVE;;null;null;null;null;52884;45684;44226;42800;;;;;null;null
5P 2,0 T AT AWD 200CV DISTINCTIVE 2020;;null;null;73853;68382;65126;56258;;;;;;;null;null
5P 2,0 T AT AWD 280CV VELOCE;null;null;null;null;null;75072;64850;63472;61426;null;null;null;null;null;null
5P 2,0 T AT AWD 280CV VELOCE 2020;;null;91741;87372;80900;77048;66557;;;;;FA 0KM;EN US$;null;null
5P 2,0 T AT AWD 280CV SUPER Q4 2021;86,000;100915;91741;87479;80999;;;;;;;;;null;null
5P 2,9 BT RWD 510CV QUADRIFOGLIO;196,000;217394;197631;187749;173842;165564;143020;;;;;;;null;null
TONALE;;null;null;null;null;;;;;;;;;null;null
5P 1,5 T 7AT MHEV SPRINT;59,800;51248;46589;null;null;;;;;;;;;null;null
5P 1,5 T 7AT MHEV VELOCE;;56398;51271;null;null;;;;;;;;;null;null
5P 1,3 T 6AT PHEV 4Q TRIBUTO ITALIANO;;72157;65598;null;null;;;;;;;;;null;null
;;null;null;null;null;;;;;;;;;null;null
AUDI;;null;null;null;null;;;;;;;;;null;null
A1;;null;null;null;null;;;;;;;;;null;null
3P 1,2 TFSI ATTRACTION;;null;null;null;null;;;;;;;14621;13707;13116;null
3P 1,4 TFSI AMBITION;;null;null;null;null;;;;22527;20483;18192;16138;15288;14755;null
3P 1,4 TFSI AMBITION S-TRONIC;;null;null;null;null;32926;30513;26668;23351;21232;18920;16929;16079;15575;null
3P 1,4 TFSI S LINE S-TRONIC;;null;null;null;null;;;;;;22316;20007;19242;18854;null
5P 1,4 TFSI SPORTBACK AMBITION;;null;null;null;null;;;;23351;21232;18920;16929;16079;null;null
5P 1,4 TFSI SPORTBACK AMBITION S-TRONIC;;null;null;null;null;34088;31590;27609;24175;21981;19648;17699;16870;null;null
5P 1,4 TFSI SPORTBACK S LINE S-TRONIC;;null;null;null;null;;;;;;23529;21816;21035;null;null
5P 1,0 TFSI SPORTBACK 30 116CV;40,076;46317;42886;40742;37724;35928;33595;;;;;;;null;null
5P 1,5 TFSI SPORTBACK 35 150CV;;null;47176;44817;41497;39521;36955;;;;;;;null;null
5P 2,0 TFSI SPORTBACK 40 200CV S LINE;;null;55812;null;null;;;;;;;;;null;null
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
A3;;null;null;null;null;;;;;;;;;null;null
3P 1,4 TFSI;;null;null;null;null;;;;;;;;;13045;11874
3P 1,4 TFSI S-TRONIC;;null;null;null;null;AU;DI 0KM;EN US$;;;;;;14310;13026
3P 1,4 TFSI ALCANTARA;;null;null;null;null;;;;;;;;;null;12850
3P 1,4 TFSI ALCANTARA S-TRONIC;;null;null;null;null;;;;;;;;;null;14002
3P 1,4 TFSI CRO;;null;null;null;null;;;;;;;;;null;13053
3P 1,4 TFSI CRO S-TRONIC;;null;null;null;null;;;;;;;;;null;14205
3P 1,4 TFSI PREMIUM;;null;null;null;null;;;;;;;;;null;12783
3P 1,4 TFSI PREMIUM S-TRONIC;;null;null;null;null;;;;;;;;;null;13935
3P 1,4 TFSI PLUS;;null;null;null;null;;;;;;;;;null;12497
3P 1,4 TFSI PLUS S-TRONIC;;null;null;null;null;;;;;;;;;null;13649
3P 1,4 TFSI 2013;;null;null;null;null;;;;;20186;18156;17419;16720;16041;null
3P 1,4 TFSI S-TRONIC 2013;;null;null;null;null;;;;;22841;20544;19710;18919;18151;null
3P 1,4 TFSI 2017;;null;null;null;null;;;;34519;29184;;;;null;null
3P 1,4 TFSI S-TRONIC 2017;;null;null;null;null;;45510;42009;35368;29902;;;;null;null
3P 1,6;;null;null;null;null;;;;;;;;;null;10592
3P 1,6 ALCANTARA;;null;null;null;null;;;;;;;;;null;11527
3P 1,6 CRO;;null;null;null;null;;;;;;;;;null;11752
3P 1,6 PREMIUM;;null;null;null;null;;;;;;;;;null;11462
3P 1,6 PLUS;;null;null;null;null;;;;;;;;;null;11188
3P 1,8 TFSI;;null;null;null;null;;;;;;;;;15499;14107
3P 1,8 TFSI S-TRONIC;;null;null;null;null;;;;;;;;;18337;16691
3P 1,8 TFSI ALCANTARA;;null;null;null;null;;;;;;;;;null;16305
3P 1,8 TFSI ALCANTARA S-TRONIC;;null;null;null;null;;;;;;;;;null;17766
3P 1,8 TFSI CRO;;null;null;null;null;;;;;;;;;null;16528
3P 1,8 TFSI CRO S-TRONIC;;null;null;null;null;;;;;;;;;null;17989
3P 1,8 TFSI PREMIUM;;null;null;null;null;;;;;;;;;null;16231
3P 1,8 TFSI PREMIUM S-TRONIC;;null;null;null;null;;;;;;;;;null;17692
3P 1,8 TFSI PLUS;;null;null;null;null;;;;;;;;;null;15916
3P 1,8 TFSI PLUS S-TRONIC;;null;null;null;null;;;;;;;;;null;17377
3P 1,8 TFSI 2013;;null;null;null;null;;;;;24879;22377;21469;20607;19770;null
3P 1,8 TFSI S-TRONIC 2013;;null;null;null;null;;;;;26078;23456;22503;21600;20723;null
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
3P 1,8 TFSI S-TRONIC QUATTRO;;null;null;null;null;;;;;28276;25433;24401;23421;22470;null
3P 2,0 TFSI;;null;null;null;null;;;;;;;;;null;14691
3P 2,0 TFSI TIPT;;null;null;null;null;;;;;;;;;null;15681
3P 2,0 TFSI ALCANTARA;;null;null;null;null;;;;;;;;;null;15226
3P 2,0 TFSI ALCANTARA TIPT;;null;null;null;null;;;;;;;;;null;16643
3P 2,0 TFSI CRO;;null;null;null;null;;;;;;;;;null;15425
3P 2,0 TFSI CRO TIPT;;null;null;null;null;;;;;;;;;null;16843
3P 2,0 TFSI PREMIUM;;null;null;null;null;;;;;;;;;null;15159
3P 2,0 TFSI PREMIUM TIPT;;null;null;null;null;;;;;;;;;null;16577
3P 2,0 TFSI S-TRONIC 2017;;null;null;null;null;;51159;45329;39758;33614;;;;null;null
3P 2,0 TDi S-TRONIC;;null;null;null;null;;;;;;;;;19140;17421
3P 2,0 TDi S-TRONIC ALCANTARA;;null;null;null;null;;;;;;;;;null;18546
3P 2,0 TDi S-TRONIC CRO;;null;null;null;null;;;;;;;;;null;18779
3P 2,0 TDi S-TRONIC PREMIUM;;null;null;null;null;;;;;;;;;null;18469
3P 2,0 TDi S-TRONIC 2013;;null;null;null;null;;;;;;;24545;22752;20888;null
4P 1,4 TFSI;;null;null;null;null;;;;;23143;20816;;;null;null
4P 1,4 TFSI S-TRONIC;;null;null;null;null;;;;;24429;21972;21081;20234;null;null
4P 1,4 TFSI 2017;;null;null;null;null;;34938;32250;29124;26466;;;;null;null
4P 1,4 TFSI S-TRONIC 2017;;null;null;null;null;;37018;34170;30858;28042;;;;null;null
4P 1,4 TFSI 35 150CV;;53709;51151;48593;46279;42851;40446;;;;;;;null;null
4P 1,4 TFSI 35 150CV 2025;45,661;54793;null;null;null;;;;;;;;;null;null
4P 1,4 TFSI 35 150CV ADVANCED;55,549;66659;null;null;null;;;;;;;;;null;null
4P 1,8 TFSI;;null;null;null;null;;;;;26422;23765;22800;;null;null
4P 1,8 TFSI S-TRONIC;;null;null;null;null;;;;;27604;24829;23821;;null;null
4P 1,8 TFSI S-TRONIC QUATTRO;;null;null;null;null;;;;;29742;26751;25666;;null;null
4P 2,0 TFSI S-TRONIC 2017;;null;null;null;null;;40835;37694;34040;30933;;;;null;null
4P 2,0 TFSI S-TRONIC LINE STYLE 2018;;null;null;null;null;;38512;35549;32103;;;;;null;null
4P 2,0 TFSI 40 190CV S LINE;;null;null;null;50054;46346;43745;;;;;;;null;null
4P 2,0 TFSI 40 190CV ADVANCE S-TRONIC;;null;56903;54058;null;;;;;;;;;null;null
5P 1,4 TFSI SPORTBACK;;null;null;null;null;;;;;;;;;13810;12570
5P 1,4 TFSI SPORTBACK S-TRONIC;;null;null;null;null;;;;;;;;;15076;13722
5P 1,4 TFSI SPORTBACK ALCANTARA;;null;null;null;null;;;;;;;;;null;13959
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
5P 1,4 TFSI SPORTBACK ALCANTARA S-TRONIC;;null;null;null;null;;;;;;;;;null;15111
5P 1,4 TFSI SPORTBACK CRO;;null;null;null;null;;;;;;;;;null;14197
5P 1,4 TFSI SPORTBACK CRO S-TRONIC;;null;null;null;null;;;;;;;;;null;15349
5P 1,4 TFSI SPORTBACK PREMIUM;;null;null;null;null;;;;;;;;;null;13468
5P 1,4 TFSI SPORTBACK PREMIUM S-TRONIC;;null;null;null;null;;;;;;;;;null;14620
5P 1,4 TFSI SPORTBACK PLUS;;null;null;null;null;;;;;;;;;null;13197
5P 1,4 TFSI SPORTBACK PLUS S-TRONIC;;null;null;null;null;;;;;;;;;null;14349
5P 1,4 TFSI SPORTBACK 2013;;null;null;null;null;;;;;21086;18966;18196;17465;16756;null
5P 1,4 TFSI SPORTBACK S-TRONIC 2013;;null;null;null;null;;;;;24062;21643;20764;19931;19122;null
5P 1,4 TFSI SPORTBACK 2017;;null;null;null;null;;34355;31712;28638;26024;;;;null;null
5P 1,4 TFSI SPORTBACK S-TRONIC 2017;;null;null;null;null;;36602;33786;30511;27726;;;;null;null
5P 1,4 TFSI SPORTBACK 35 150CV;;null;null;null;43596;40367;38102;;;;;;;null;null
5P 1,4 TFSI SPORTBACK 35 150CV 8TRIP;;52040;49562;47084;null;;;;;;;;;null;null
5P 1,4 TFSI SPORTBACK 35 150CV 8TRIP 2025;45,126;54151;null;null;null;;;;;;;;;null;null
5P 1,4 TFSI SPORTBACK 35 150CV 8TRIP ADVANCED;55,014;66017;null;null;null;;;;;;;;;null;null
5P 1,6 SPORTBACK;;null;null;null;null;;;;;;;;;12881;11725
5P 1,6 SPORTBACK TIPT;;null;null;null;null;;;;;;;;;null;13385
5P 1,6 SPORTBACK ALCANTARA;;null;null;null;null;;;;;;;;;null;13110
5P 1,6 SPORTBACK CRO;;null;null;null;null;;;;;;;;;null;13346
5P 1,6 SPORTBACK PREMIUM;;null;null;null;null;;;;;;;;;null;12620
5P 1,6 SPORTBACK PLUS;;null;null;null;null;;;;;;;;;null;12350
5P 1,8 TFSI SPORTBACK;;null;null;null;null;;;;;;;;;18239;16601
5P 1,8 TFSI SPORTBACK S-TRONIC;;null;null;null;null;;;;;;;;;19338;17602
5P 1,8 TFSI SPORTBACK ALCANTARA;;null;null;null;null;;;;;;;;;null;17658
5P 1,8 TFSI SPORTBACK ALCANTARA S-TRONIC;;null;null;null;null;;;;;;;;;null;19142
5P 1,8 TFSI SPORTBACK CRO;;null;null;null;null;;;;;;;;;null;17921
5P 1,8 TFSI SPORTBACK CRO S-TRONIC;;null;null;null;null;;;;;;;;;null;19688
5P 1,8 TFSI SPORTBACK PREMIUM;;null;null;null;null;;;;;;;;;null;17113
5P 1,8 TFSI SPORTBACK PREMIUM S-TRONIC;;null;null;null;null;;;;;;;;;null;18597
5P 1,8 TFSI SPORTBACK PLUS;;null;null;null;null;;;;;;;;;null;16813
5P 1,8 TFSI SPORTBACK PLUS S-TRONIC;;null;null;null;null;;;;;;;;;null;18297
5P 1,8 TFSI SPORTBACK 180CV;;null;null;null;null;;;;;24734;23418;22467;21565;20690;null
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
5P 1,8 TFSI SPORTBACK S-TRONIC 180CV;;null;null;null;null;;;;;25818;24444;23452;22510;21597;null
5P 1,8 TFSI SPORTBACK S-TRONIC QUATTRO 180CV;;null;null;null;null;;;;;27965;26477;25402;24382;23393;null
5P 2,0 TFSI SPORTBACK;;null;null;null;null;;;;;;;19659;18223;16253;14961
5P 2,0 TFSI SPORTBACK S-TRONIC;;null;null;null;null;;;;;;;21533;19960;17802;16387
5P 2,0 TFSI SPORTBACK ALCANTARA;;null;null;null;null;;;;;;;;;null;16330
5P 2,0 TFSI SPORTBACK ALCANTARA S-TRONIC;;null;null;null;null;;;;;;;;;null;17756
5P 2,0 TFSI SPORTBACK CRO;;null;null;null;null;;;;;;;;;null;16564
5P 2,0 TFSI SPORTBACK CRO S-TRONIC;;null;null;null;null;;;;;;;;;null;17990
5P 2,0 TFSI SPORTBACK PREMIUM;;null;null;null;null;;;;;;;;;null;15846
5P 2,0 TFSI SPORTBACK PREMIUM S-TRONIC;;null;null;null;null;;;;;;;;;null;17272
5P 2,0 TFSI SPORTBACK S-TRONIC 2017;;null;null;null;null;;41177;38009;34325;31192;;;;null;null
5P 2,0 TFSI SPORTBACK S-TRONIC LINE STYLE 2018;;null;null;null;null;;39942;36870;33296;;;;;null;null
5P 2,0 TFSI SPORTBACK 40 190CV S LINE;;63888;60917;57872;55116;51033;48169;;;;;;;null;null
5P 2,0 TDi SPORTBACK S-TRONIC;;null;null;null;null;;;;;;;28233;26171;23341;20432
5P 2,0 TDi SPORTBACK S-TRONIC ALCANTARA;;null;null;null;null;;;;;;;;;null;22175
5P 2,0 TDi SPORTBACK S-TRONIC CRO;;null;null;null;null;;;;;;;;;null;22472
